Cluster,RA_hms,DEC_dms,Straal_arcmin,Afstand_pc
NGC 6366,17h27m44s,-05d04m47.5s,13.0,3500
NGC 104,00h24m05s,-72d04m53s,30.0,4500
NGC 288,00h52m45s,-26d34m43s,13.0,8900
NGC 362,01h03m14s,-70d50m54s,14.0,8600
NGC 1851,05h14m06s,-40d02m50s,12.0,12100
NGC 1904,05h24m11s,-24d31m27s,9.0,12900
NGC 2808,09h12m03s,-64d51m47s,13.0,9600
NGC 3201,10h17m36s,-46d24m40s,18.0,4900
NGC 4372,12h25m45s,-72d39m32s,18.0,5800
NGC 4590,12h39m28s,-26d44m34s,15.0,10300
NGC 4833,12h59m34s,-70d52m28s,13.0,6600
NGC 5024,13h12m55s,+18d10m09s,12.0,17900
NGC 5139,13h26m45s,-47d28m37s,36.0,5200
NGC 5272,13h42m11s,+28d22m31s,18.0,10200
NGC 5824,15h03m58s,-33d04m04s,6.0,32100
NGC 5904,15h18m33s,+02d04m57s,23.0,7500
NGC 5927,15h28m00s,-50d40m22s,12.0,7700
NGC 5986,15h46m03s,-37d47m10s,9.0,10400
NGC 6093,16h17m02s,-22d58m30s,10.0,10000
NGC 6121,16h23m35s,-26d31m31s,36.0,2200
NGC 6171,16h32m31s,-13d03m13s,13.0,6400
NGC 6205,16h41m41s,+36d27m37s,20.0,7100
NGC 6218,16h47m14s,-01d56m52s,16.0,4800
NGC 6254,16h57m08s,-04d05m55s,20.0,4400
NGC 6266,17h01m12s,-30d06m44s,15.0,6800
NGC 6341,17h17m07s,+43d08m11s,14.0,8300
NGC 6397,17h40m41s,-53d40m25s,31.0,2300
NGC 6541,18h08m02s,-43d42m40s,15.0,7500
NGC 6656,18h36m24s,-23d54m12s,32.0,3200
NGC 6752,19h10m51s,-59d58m54s,20.0,4000
NGC 7078,21h29m58s,+12d10m00s,18.0,10400
