Cluster,RA_hms,DEC_dms,Straal_arcmin,Afstand_pc
NGC 188,00h47m28s,+85d15m18s,15.0,2047
NGC 290,00h51m14s,-73d09m41s,2.0,76
NGC 436,01h15m58s,+58d48m42s,5.0,3000
NGC 457,01h19m33s,+58d17m42s,13.0,2422
NGC 663,01h46m09s,+61d14m00s,16.0,2100
NGC 752,01h57m41s,+37d47m06s,50.0,450
NGC 869,02h19m00s,+57d07m42s,30.0,2198
NGC 884,02h22m18s,+57d08m12s,30.0,2336
NGC 1245,03h14m41s,+47d14m12s,10.0,2800
NGC 1528,04h15m19s,+51d12m54s,24.0,770
NGC 1907,05h28m05s,+35d19m30s,6.0,1560
NGC 1960,05h36m17s,+34d08m27s,12.0,1318
NGC 2099,05h52m18s,+32d33m11s,24.0,1383
NGC 2168,06h09m00s,+24d21m00s,28.0,850
NGC 2244,06h31m55s,+04d56m30s,24.0,1500
NGC 2264,06h41m00s,+09d53m00s,20.0,719
NGC 2323,07h02m42s,-08d22m30s,16.0,900
NGC 2360,07h17m43s,-15d38m30s,13.0,1100
NGC 2422,07h36m35s,-14d29m00s,30.0,490
NGC 2437,07h41m46s,-14d48m36s,27.0,1500
NGC 2447,07h44m30s,-23d51m24s,22.0,1000
NGC 2477,07h52m10s,-38d31m48s,27.0,1300
NGC 2506,08h00m01s,-10d46m12s,12.0,3400
NGC 2516,07h58m04s,-60d45m12s,30.0,409
NGC 2547,08h10m25s,-49d12m48s,20.0,450
NGC 2632,08h40m24s,+19d40m00s,95.0,187
NGC 2682,08h51m18s,+11d48m00s,15.0,870
NGC 3114,10h02m45s,-60d06m18s,35.0,911
NGC 3293,10h35m51s,-58d13m48s,10.0,2327
NGC 3532,11h05m39s,-58d45m12s,50.0,405
